replicate,draw_slot,source_iso3,seed,country_count
2,23,IDN,20260830,63
2,24,MEX,20260830,63
2,25,SGP,20260830,63
2,26,BRA,20260830,63
2,27,SGP,20260830,63
2,28,GRC,20260830,63
2,29,AUT,20260830,63
2,30,KOR,20260830,63
2,31,JPN,20260830,63
2,32,CHN,20260830,63
2,33,MAR,20260830,63
2,34,AUS,20260830,63
2,35,CHN,20260830,63
2,36,AUS,20260830,63
2,37,PRT,20260830,63
2,38,DEU,20260830,63
2,39,FIN,20260830,63
2,40,ZMB,20260830,63
2,41,GBR,20260830,63
2,42,GBR,20260830,63
2,43,COL,20260830,63
2,44,MYS,20260830,63
2,45,MEX,20260830,63
2,46,IDN,20260830,63
2,47,CHE,20260830,63
2,48,ZMB,20260830,63
2,49,THA,20260830,63
2,50,TUR,20260830,63
2,51,MUS,20260830,63
2,52,DNK,20260830,63
2,53,SVN,20260830,63
2,54,VNM,20260830,63
2,55,BEL,20260830,63
2,56,ESP,20260830,63
2,57,BEL,20260830,63
2,58,KAZ,20260830,63
2,59,THA,20260830,63
2,60,CIV,20260830,63
2,61,ZMB,20260830,63
2,62,PAK,20260830,63
2,63,ZMB,20260830,63
3,1,SWE,20260830,63
3,2,SGP,20260830,63
3,3,RUS,20260830,63
3,4,HKG,20260830,63
3,5,AUS,20260830,63
3,6,LKA,20260830,63
3,7,CHN,20260830,63
3,8,SVN,20260830,63
3,9,MEX,20260830,63
3,10,KOR,20260830,63
3,11,THA,20260830,63
3,12,AUT,20260830,63
3,13,NAM,20260830,63
3,14,MAR,20260830,63
3,15,PRT,20260830,63
3,16,NOR,20260830,63
3,17,SVK,20260830,63
3,18,SRB,20260830,63
3,19,CIV,20260830,63
3,20,IRL,20260830,63
3,21,ROU,20260830,63
3,22,BRA,20260830,63
3,23,PAK,20260830,63
3,24,GBR,20260830,63
3,25,MEX,20260830,63
3,26,USA,20260830,63
3,27,IND,20260830,63
3,28,TUR,20260830,63
3,29,CAN,20260830,63
3,30,PAK,20260830,63
3,31,VNM,20260830,63
3,32,GBR,20260830,63
3,33,HRV,20260830,63
3,34,NAM,20260830,63
3,35,USA,20260830,63
3,36,NAM,20260830,63
3,37,DNK,20260830,63
3,38,RUS,20260830,63
3,39,MEX,20260830,63
3,40,ESP,20260830,63
3,41,TUR,20260830,63
3,42,GBR,20260830,63
3,43,AUT,20260830,63
3,44,NZL,20260830,63
3,45,ESP,20260830,63
3,46,MEX,20260830,63
3,47,FRA,20260830,63
3,48,BEL,20260830,63
3,49,IND,20260830,63
3,50,AUS,20260830,63
3,51,DEU,20260830,63
3,52,CIV,20260830,63
3,53,THA,20260830,63
3,54,DEU,20260830,63
3,55,SGP,20260830,63
3,56,ROU,20260830,63
3,57,NAM,20260830,63
3,58,ISL,20260830,63
3,59,VNM,20260830,63
3,60,BEL,20260830,63
3,61,CAN,20260830,63
3,62,IDN,20260830,63
3,63,AUT,20260830,63
4,1,GBR,20260830,63
4,2,ISL,20260830,63
4,3,AUT,20260830,63
4,4,NGA,20260830,63
4,5,USA,20260830,63
4,6,TWN,20260830,63
4,7,CZE,20260830,63
4,8,POL,20260830,63
4,9,MUS,20260830,63
4,10,CIV,20260830,63
4,11,MAR,20260830,63
4,12,BEL,20260830,63
4,13,THA,20260830,63
4,14,ITA,20260830,63
4,15,MUS,20260830,63
4,16,ISL,20260830,63
4,17,CAN,20260830,63
4,18,USA,20260830,63
4,19,CHE,20260830,63
4,20,PRT,20260830,63
4,21,PRT,20260830,63
4,22,SRB,20260830,63
4,23,AUT,20260830,63
4,24,TUR,20260830,63
4,25,MUS,20260830,63
4,26,HRV,20260830,63
4,27,MAR,20260830,63
4,28,PRT,20260830,63
4,29,UGA,20260830,63
4,30,USA,20260830,63
4,31,DNK,20260830,63
4,32,ROU,20260830,63
4,33,IRL,20260830,63
4,34,MUS,20260830,63
4,35,KAZ,20260830,63
4,36,SWE,20260830,63
4,37,JPN,20260830,63
4,38,KOR,20260830,63
4,39,LTU,20260830,63
4,40,CZE,20260830,63
4,41,IRL,20260830,63
4,42,JPN,20260830,63
4,43,HUN,20260830,63
4,44,USA,20260830,63
4,45,ZAF,20260830,63
4,46,GRC,20260830,63
4,47,UGA,20260830,63
4,48,GRC,20260830,63
4,49,SWE,20260830,63
4,50,SVN,20260830,63
4,51,AUS,20260830,63
4,52,THA,20260830,63
4,53,JPN,20260830,63
4,54,KEN,20260830,63
4,55,MYS,20260830,63
4,56,NAM,20260830,63
4,57,IRL,20260830,63
4,58,BEL,20260830,63
4,59,SWE,20260830,63
4,60,MYS,20260830,63
4,61,KAZ,20260830,63
4,62,KOR,20260830,63
4,63,ZAF,20260830,63
5,1,LKA,20260830,63
5,2,VNM,20260830,63
5,3,PHL,20260830,63
5,4,JPN,20260830,63
5,5,ISL,20260830,63
5,6,AUT,20260830,63
5,7,IDN,20260830,63
5,8,NGA,20260830,63
5,9,USA,20260830,63
5,10,GRC,20260830,63
5,11,MUS,20260830,63
5,12,THA,20260830,63
5,13,GRC,20260830,63
5,14,DEU,20260830,63
5,15,HRV,20260830,63
5,16,KAZ,20260830,63
5,17,GBR,20260830,63
5,18,JPN,20260830,63
5,19,TUR,20260830,63
5,20,BGD,20260830,63
5,21,SGP,20260830,63
5,22,ZAF,20260830,63
5,23,HRV,20260830,63
5,24,SWE,20260830,63
5,25,TWN,20260830,63
5,26,BGD,20260830,63
5,27,NGA,20260830,63
5,28,DEU,20260830,63
5,29,PRT,20260830,63
5,30,FRA,20260830,63
5,31,DNK,20260830,63
5,32,FRA,20260830,63
5,33,HKG,20260830,63
5,34,DNK,20260830,63
5,35,NOR,20260830,63
5,36,IND,20260830,63
5,37,DEU,20260830,63
5,38,FRA,20260830,63
5,39,ROU,20260830,63
5,40,PAK,20260830,63
5,41,SRB,20260830,63
5,42,MUS,20260830,63
5,43,FRA,20260830,63
5,44,MYS,20260830,63
5,45,IRL,20260830,63
5,46,AUS,20260830,63
5,47,IDN,20260830,63
5,48,COL,20260830,63
5,49,COL,20260830,63
5,50,TUR,20260830,63
5,51,IDN,20260830,63
5,52,CHE,20260830,63
5,53,IRL,20260830,63
5,54,SRB,20260830,63
5,55,SRB,20260830,63
5,56,DNK,20260830,63
5,57,LKA,20260830,63
5,58,JPN,20260830,63
5,59,GRC,20260830,63
5,60,MUS,20260830,63
5,61,DEU,20260830,63
5,62,LKA,20260830,63
5,63,HKG,20260830,63
6,1,BGD,20260830,63
6,2,BGD,20260830,63
6,3,ISL,20260830,63
6,4,DEU,20260830,63
6,5,BEL,20260830,63
6,6,IDN,20260830,63
6,7,HKG,20260830,63
6,8,ZMB,20260830,63
6,9,CZE,20260830,63
6,10,TUR,20260830,63
6,11,KAZ,20260830,63
6,12,KEN,20260830,63
6,13,SRB,20260830,63
6,14,CIV,20260830,63
6,15,FIN,20260830,63
6,16,CIV,20260830,63
6,17,PHL,20260830,63
6,18,CZE,20260830,63
6,19,IND,20260830,63
6,20,KAZ,20260830,63
6,21,VNM,20260830,63
6,22,MAR,20260830,63
6,23,LTU,20260830,63
6,24,CHE,20260830,63
6,25,KAZ,20260830,63
6,26,NGA,20260830,63
6,27,SGP,20260830,63
6,28,TUR,20260830,63
6,29,PRT,20260830,63
6,30,NOR,20260830,63
6,31,MAR,20260830,63
6,32,UGA,20260830,63
6,33,ROU,20260830,63
6,34,THA,20260830,63
6,35,DEU,20260830,63
6,36,ZAF,20260830,63
6,37,USA,20260830,63
6,38,IDN,20260830,63
6,39,DEU,20260830,63
6,40,SGP,20260830,63
6,41,HUN,20260830,63
6,42,HRV,20260830,63
6,43,MAR,20260830,63
6,44,PHL,20260830,63
6,45,NAM,20260830,63
6,46,AUT,20260830,63
6,47,SVN,20260830,63
6,48,PHL,20260830,63
6,49,HRV,20260830,63
6,50,HRV,20260830,63
6,51,CIV,20260830,63
6,52,LTU,20260830,63
6,53,ITA,20260830,63
6,54,SGP,20260830,63
6,55,EGY,20260830,63
6,56,HUN,20260830,63
6,57,PAK,20260830,63
6,58,EGY,20260830,63
6,59,BEL,20260830,63
6,60,NAM,20260830,63
6,61,SWE,20260830,63
6,62,MEX,20260830,63
6,63,EGY,20260830,63
7,1,LTU,20260830,63
7,2,HKG,20260830,63
7,3,MUS,20260830,63
7,4,TWN,20260830,63
7,5,COL,20260830,63
7,6,FIN,20260830,63
7,7,TWN,20260830,63
7,8,HRV,20260830,63
7,9,VNM,20260830,63
7,10,ZAF,20260830,63
7,11,IND,20260830,63
7,12,CHE,20260830,63
7,13,FRA,20260830,63
7,14,CIV,20260830,63
7,15,CIV,20260830,63
7,16,IND,20260830,63
7,17,MUS,20260830,63
7,18,EGY,20260830,63
7,19,ITA,20260830,63
7,20,PRT,20260830,63
7,21,POL,20260830,63
7,22,POL,20260830,63
7,23,RUS,20260830,63
7,24,JPN,20260830,63
7,25,IRL,20260830,63
7,26,ITA,20260830,63
7,27,ISL,20260830,63
7,28,EGY,20260830,63
7,29,NLD,20260830,63
7,30,POL,20260830,63
7,31,HRV,20260830,63
7,32,SWE,20260830,63
7,33,FIN,20260830,63
7,34,FRA,20260830,63
7,35,POL,20260830,63
7,36,SVN,20260830,63
7,37,AUT,20260830,63
7,38,ZAF,20260830,63
7,39,BEL,20260830,63
7,40,AUT,20260830,63
7,41,PAK,20260830,63
7,42,POL,20260830,63
7,43,GRC,20260830,63
7,44,KAZ,20260830,63
7,45,PAK,20260830,63
7,46,THA,20260830,63
7,47,ROU,20260830,63
7,48,DEU,20260830,63
7,49,ROU,20260830,63
7,50,EGY,20260830,63
7,51,MEX,20260830,63
7,52,LKA,20260830,63
7,53,DEU,20260830,63
7,54,HUN,20260830,63
7,55,HRV,20260830,63
7,56,USA,20260830,63
7,57,AUT,20260830,63
7,58,GRC,20260830,63
7,59,USA,20260830,63
7,60,KOR,20260830,63
7,61,EGY,20260830,63
7,62,DNK,20260830,63
7,63,FIN,20260830,63
8,1,MAR,20260830,63
8,2,KEN,20260830,63
8,3,FIN,20260830,63
8,4,DEU,20260830,63
8,5,UGA,20260830,63
8,6,LKA,20260830,63
8,7,USA,20260830,63
8,8,BRA,20260830,63
8,9,GRC,20260830,63
8,10,IND,20260830,63
8,11,SWE,20260830,63
8,12,HRV,20260830,63
8,13,SGP,20260830,63
8,14,ISR,20260830,63
8,15,KEN,20260830,63
8,16,FRA,20260830,63
8,17,BGD,20260830,63
8,18,ROU,20260830,63
8,19,SWE,20260830,63
8,20,IND,20260830,63
8,21,NAM,20260830,63
8,22,CAN,20260830,63
8,23,NOR,20260830,63
8,24,POL,20260830,63
8,25,AUT,20260830,63
8,26,MEX,20260830,63
8,27,UGA,20260830,63
8,28,MEX,20260830,63
8,29,JPN,20260830,63
8,30,SWE,20260830,63
8,31,CZE,20260830,63
8,32,PAK,20260830,63
8,33,VNM,20260830,63
8,34,CZE,20260830,63
8,35,MEX,20260830,63
8,36,GBR,20260830,63
8,37,IND,20260830,63
8,38,ZAF,20260830,63
8,39,GBR,20260830,63
8,40,ZMB,20260830,63
8,41,SRB,20260830,63
8,42,CAN,20260830,63
8,43,ZMB,20260830,63
8,44,GRC,20260830,63
8,45,ITA,20260830,63
8,46,TWN,20260830,63
8,47,IRL,20260830,63
8,48,CHL,20260830,63
8,49,HRV,20260830,63
8,50,BRA,20260830,63
8,51,ROU,20260830,63
8,52,BRA,20260830,63
8,53,AUT,20260830,63
8,54,TWN,20260830,63
8,55,LTU,20260830,63
8,56,POL,20260830,63
8,57,CAN,20260830,63
8,58,ROU,20260830,63
8,59,GBR,20260830,63
8,60,SWE,20260830,63
8,61,ROU,20260830,63
8,62,MUS,20260830,63
8,63,RUS,20260830,63
9,1,IND,20260830,63
9,2,SVN,20260830,63
9,3,NZL,20260830,63
9,4,FRA,20260830,63
9,5,LTU,20260830,63
9,6,IND,20260830,63
9,7,BEL,20260830,63
9,8,NGA,20260830,63
9,9,BGD,20260830,63
9,10,IDN,20260830,63
9,11,MYS,20260830,63
9,12,MYS,20260830,63
9,13,IND,20260830,63
9,14,ZMB,20260830,63
9,15,ROU,20260830,63
9,16,ISR,20260830,63
9,17,POL,20260830,63
9,18,ITA,20260830,63
9,19,LKA,20260830,63
9,20,HRV,20260830,63
9,21,MAR,20260830,63
9,22,KEN,20260830,63
9,23,BRA,20260830,63
9,24,NAM,20260830,63
9,25,ISL,20260830,63
9,26,NAM,20260830,63
9,27,LKA,20260830,63
9,28,IRL,20260830,63
9,29,CZE,20260830,63
9,30,BGD,20260830,63
9,31,KEN,20260830,63
9,32,THA,20260830,63
9,33,ITA,20260830,63
9,34,CHL,20260830,63
9,35,MEX,20260830,63
9,36,NGA,20260830,63
9,37,SVN,20260830,63
9,38,ZAF,20260830,63
9,39,COL,20260830,63
9,40,ZMB,20260830,63
9,41,IDN,20260830,63
9,42,PAK,20260830,63
9,43,JPN,20260830,63
9,44,LKA,20260830,63
9,45,NGA,20260830,63
9,46,FRA,20260830,63
9,47,TUR,20260830,63
9,48,SVN,20260830,63
9,49,NLD,20260830,63
9,50,TWN,20260830,63
9,51,BGD,20260830,63
9,52,USA,20260830,63
9,53,DNK,20260830,63
9,54,POL,20260830,63
9,55,SWE,20260830,63
9,56,BGD,20260830,63
9,57,CAN,20260830,63
9,58,ROU,20260830,63
9,59,KAZ,20260830,63
9,60,HKG,20260830,63
9,61,SRB,20260830,63
9,62,CZE,20260830,63
9,63,DNK,20260830,63
10,1,KOR,20260830,63
10,2,SWE,20260830,63
10,3,TWN,20260830,63
10,4,ISL,20260830,63
10,5,AUS,20260830,63
10,6,BGD,20260830,63
10,7,CZE,20260830,63
10,8,PRT,20260830,63
10,9,GBR,20260830,63
10,10,MEX,20260830,63
10,11,POL,20260830,63
10,12,EGY,20260830,63
10,13,ISR,20260830,63
10,14,MAR,20260830,63
10,15,BEL,20260830,63
10,16,SGP,20260830,63
10,17,RUS,20260830,63
10,18,COL,20260830,63
10,19,IRL,20260830,63
10,20,BRA,20260830,63
10,21,HRV,20260830,63
10,22,TWN,20260830,63
10,23,MYS,20260830,63
10,24,IND,20260830,63
10,25,IND,20260830,63
10,26,ITA,20260830,63
10,27,RUS,20260830,63
10,28,KEN,20260830,63
10,29,MAR,20260830,63
10,30,PAK,20260830,63
10,31,CAN,20260830,63
10,32,KAZ,20260830,63
10,33,KAZ,20260830,63
10,34,SGP,20260830,63
10,35,ROU,20260830,63
10,36,UGA,20260830,63
10,37,SGP,20260830,63
10,38,CAN,20260830,63
10,39,PRT,20260830,63
10,40,SWE,20260830,63
10,41,NGA,20260830,63
10,42,GBR,20260830,63
10,43,PRT,20260830,63
10,44,DNK,20260830,63
10,45,TUR,20260830,63
10,46,PRT,20260830,63
10,47,KAZ,20260830,63
10,48,IDN,20260830,63
10,49,IDN,20260830,63
10,50,BEL,20260830,63
10,51,MEX,20260830,63
10,52,EGY,20260830,63
10,53,BRA,20260830,63
10,54,IDN,20260830,63
10,55,LKA,20260830,63
10,56,MUS,20260830,63
10,57,MYS,20260830,63
10,58,BGD,20260830,63
10,59,EGY,20260830,63
10,60,COL,20260830,63
10,61,MAR,20260830,63
10,62,DNK,20260830,63
10,63,THA,20260830,63
11,1,IND,20260830,63
11,2,PRT,20260830,63
11,3,ZMB,20260830,63
11,4,VNM,20260830,63
11,5,GRC,20260830,63
11,6,DEU,20260830,63
11,7,ISL,20260830,63
11,8,MAR,20260830,63
11,9,USA,20260830,63
11,10,THA,20260830,63
11,11,FIN,20260830,63
11,12,PAK,20260830,63
11,13,IND,20260830,63
11,14,BEL,20260830,63
11,15,HUN,20260830,63
11,16,KOR,20260830,63
11,17,COL,20260830,63
11,18,POL,20260830,63
11,19,KOR,20260830,63
11,20,EGY,20260830,63
11,21,TWN,20260830,63
11,22,SGP,20260830,63
11,23,JPN,20260830,63
11,24,MEX,20260830,63
11,25,UGA,20260830,63
11,26,COL,20260830,63
11,27,ZAF,20260830,63
11,28,IND,20260830,63
11,29,AUS,20260830,63
11,30,KEN,20260830,63
11,31,SVN,20260830,63
11,32,ROU,20260830,63
11,33,VNM,20260830,63
11,34,DEU,20260830,63
11,35,KOR,20260830,63
11,36,CHL,20260830,63
11,37,MUS,20260830,63
11,38,MYS,20260830,63
11,39,POL,20260830,63
11,40,UGA,20260830,63
11,41,RUS,20260830,63
11,42,ISL,20260830,63
11,43,ROU,20260830,63
11,44,MAR,20260830,63
11,45,BEL,20260830,63
11,46,SWE,20260830,63
11,47,ISR,20260830,63
11,48,NGA,20260830,63
11,49,LTU,20260830,63
11,50,TUR,20260830,63
11,51,UGA,20260830,63
11,52,PHL,20260830,63
11,53,ITA,20260830,63
11,54,MAR,20260830,63
11,55,HRV,20260830,63
11,56,HKG,20260830,63
11,57,GBR,20260830,63
11,58,FRA,20260830,63
11,59,UGA,20260830,63
11,60,KEN,20260830,63
11,61,ESP,20260830,63
11,62,PAK,20260830,63
11,63,DNK,20260830,63
12,1,MYS,20260830,63
12,2,TUR,20260830,63
12,3,UGA,20260830,63
12,4,ITA,20260830,63
12,5,MYS,20260830,63
12,6,PAK,20260830,63
12,7,UGA,20260830,63
12,8,SGP,20260830,63
12,9,IRL,20260830,63
12,10,HRV,20260830,63
12,11,HUN,20260830,63
12,12,AUT,20260830,63
12,13,VNM,20260830,63
12,14,NOR,20260830,63
12,15,NLD,20260830,63
12,16,VNM,20260830,63
12,17,IRL,20260830,63
12,18,KEN,20260830,63
12,19,SVK,20260830,63
12,20,DEU,20260830,63
12,21,USA,20260830,63
12,22,FIN,20260830,63
12,23,IDN,20260830,63
12,24,BEL,20260830,63
12,25,PAK,20260830,63
12,26,LTU,20260830,63
12,27,CIV,20260830,63
12,28,EGY,20260830,63
12,29,CHL,20260830,63
12,30,CZE,20260830,63
12,31,GRC,20260830,63
12,32,SVN,20260830,63
12,33,SVN,20260830,63
12,34,HUN,20260830,63
12,35,ISR,20260830,63
12,36,BGD,20260830,63
12,37,ISR,20260830,63
12,38,SRB,20260830,63
12,39,GBR,20260830,63
12,40,CHE,20260830,63
12,41,THA,20260830,63
12,42,NOR,20260830,63
12,43,RUS,20260830,63
12,44,COL,20260830,63
12,45,NZL,20260830,63
12,46,SWE,20260830,63
12,47,ROU,20260830,63
12,48,GBR,20260830,63
12,49,NAM,20260830,63
12,50,TWN,20260830,63
12,51,PHL,20260830,63
12,52,CHN,20260830,63
12,53,UGA,20260830,63
12,54,HUN,20260830,63
12,55,IND,20260830,63
12,56,KEN,20260830,63
12,57,ISL,20260830,63
12,58,HRV,20260830,63
12,59,NOR,20260830,63
12,60,CZE,20260830,63
12,61,LTU,20260830,63
12,62,ROU,20260830,63
12,63,SRB,20260830,63
13,1,RUS,20260830,63
13,2,NZL,20260830,63
13,3,ISR,20260830,63
13,4,ZAF,20260830,63
13,5,UGA,20260830,63
13,6,PRT,20260830,63
13,7,POL,20260830,63
13,8,KOR,20260830,63
13,9,CHN,20260830,63
13,10,ISL,20260830,63
13,11,VNM,20260830,63
13,12,ZMB,20260830,63
13,13,ITA,20260830,63
13,14,SGP,20260830,63
13,15,LTU,20260830,63
13,16,IND,20260830,63
13,17,KEN,20260830,63
13,18,IRL,20260830,63
13,19,ITA,20260830,63
13,20,CAN,20260830,63
13,21,LTU,20260830,63
13,22,HKG,20260830,63
13,23,KOR,20260830,63
13,24,VNM,20260830,63
13,25,ITA,20260830,63
13,26,ZMB,20260830,63
13,27,NZL,20260830,63
13,28,CHE,20260830,63
13,29,RUS,20260830,63
13,30,GBR,20260830,63
13,31,CAN,20260830,63
13,32,ISR,20260830,63
13,33,MYS,20260830,63
13,34,ISL,20260830,63
13,35,TWN,20260830,63
13,36,NGA,20260830,63
13,37,KEN,20260830,63
13,38,DNK,20260830,63
13,39,ISR,20260830,63
13,40,ISL,20260830,63
13,41,SGP,20260830,63
13,42,IDN,20260830,63
13,43,SVK,20260830,63
13,44,HUN,20260830,63
13,45,LTU,20260830,63
13,46,THA,20260830,63
13,47,MEX,20260830,63
13,48,AUS,20260830,63
13,49,UGA,20260830,63
13,50,PHL,20260830,63
13,51,TUR,20260830,63
13,52,CHL,20260830,63
13,53,TWN,20260830,63
13,54,EGY,20260830,63
13,55,MYS,20260830,63
13,56,ZMB,20260830,63
13,57,POL,20260830,63
13,58,USA,20260830,63
13,59,THA,20260830,63
13,60,CZE,20260830,63
13,61,NZL,20260830,63
13,62,HUN,20260830,63
13,63,CIV,20260830,63
14,1,GRC,20260830,63
14,2,PRT,20260830,63
14,3,USA,20260830,63
14,4,PHL,20260830,63
14,5,CHN,20260830,63
14,6,BEL,20260830,63
14,7,DEU,20260830,63
14,8,CHN,20260830,63
14,9,GRC,20260830,63
14,10,KEN,20260830,63
14,11,DEU,20260830,63
14,12,CAN,20260830,63
14,13,NZL,20260830,63
14,14,MAR,20260830,63
14,15,IDN,20260830,63
14,16,VNM,20260830,63
14,17,BEL,20260830,63
14,18,CHN,20260830,63
14,19,TWN,20260830,63
14,20,CHN,20260830,63
14,21,IRL,20260830,63
14,22,FIN,20260830,63
14,23,CIV,20260830,63
14,24,BRA,20260830,63
14,25,ROU,20260830,63
14,26,ISL,20260830,63
14,27,SVK,20260830,63
14,28,USA,20260830,63
14,29,SVK,20260830,63
14,30,GBR,20260830,63
14,31,ZAF,20260830,63
14,32,SVN,20260830,63
14,33,THA,20260830,63
14,34,JPN,20260830,63
14,35,CAN,20260830,63
14,36,TUR,20260830,63
14,37,ESP,20260830,63
14,38,CHN,20260830,63
14,39,IDN,20260830,63
14,40,TWN,20260830,63
14,41,CIV,20260830,63
14,42,NAM,20260830,63
14,43,AUS,20260830,63
14,44,IND,20260830,63
14,45,JPN,20260830,63
14,46,SRB,20260830,63
14,47,BRA,20260830,63
14,48,NOR,20260830,63
14,49,CAN,20260830,63
14,50,SWE,20260830,63
14,51,CIV,20260830,63
14,52,VNM,20260830,63
14,53,CZE,20260830,63
14,54,ROU,20260830,63
14,55,NAM,20260830,63
14,56,CIV,20260830,63
14,57,CHE,20260830,63
14,58,CAN,20260830,63
14,59,KOR,20260830,63
14,60,NZL,20260830,63
14,61,NGA,20260830,63
14,62,PHL,20260830,63
14,63,NLD,20260830,63
15,1,FIN,20260830,63
15,2,IRL,20260830,63
15,3,MUS,20260830,63
15,4,SVN,20260830,63
15,5,BRA,20260830,63
15,6,UGA,20260830,63
15,7,AUT,20260830,63
15,8,CHE,20260830,63
15,9,TWN,20260830,63
15,10,PHL,20260830,63
15,11,SWE,20260830,63
15,12,POL,20260830,63
15,13,GRC,20260830,63
15,14,CHE,20260830,63
15,15,BEL,20260830,63
15,16,TWN,20260830,63
15,17,CHL,20260830,63
15,18,BRA,20260830,63
15,19,NZL,20260830,63
15,20,USA,20260830,63
15,21,LTU,20260830,63
15,22,ZMB,20260830,63
15,23,FIN,20260830,63
15,24,NZL,20260830,63
15,25,LTU,20260830,63
15,26,LTU,20260830,63
15,27,ZAF,20260830,63
15,28,JPN,20260830,63
15,29,NOR,20260830,63
15,30,POL,20260830,63
15,31,KOR,20260830,63
15,32,ISR,20260830,63
15,33,PAK,20260830,63
15,34,AUT,20260830,63
15,35,TUR,20260830,63
15,36,KAZ,20260830,63
15,37,NOR,20260830,63
15,38,PAK,20260830,63
15,39,USA,20260830,63
15,40,LKA,20260830,63
15,41,JPN,20260830,63
15,42,UGA,20260830,63
15,43,FRA,20260830,63
15,44,PAK,20260830,63
15,45,SVN,20260830,63
15,46,SRB,20260830,63
15,47,CZE,20260830,63
15,48,GRC,20260830,63
15,49,MYS,20260830,63
15,50,IND,20260830,63
15,51,POL,20260830,63
15,52,CHE,20260830,63
15,53,ISL,20260830,63
15,54,RUS,20260830,63
15,55,MUS,20260830,63
15,56,SVN,20260830,63
15,57,IND,20260830,63
15,58,PRT,20260830,63
15,59,FIN,20260830,63
15,60,SGP,20260830,63
15,61,IRL,20260830,63
15,62,VNM,20260830,63
15,63,HUN,20260830,63
16,1,SVN,20260830,63
16,2,CHE,20260830,63
16,3,PHL,20260830,63
16,4,ZMB,20260830,63
16,5,BRA,20260830,63
16,6,NGA,20260830,63
16,7,IRL,20260830,63
16,8,ISL,20260830,63
16,9,ITA,20260830,63
16,10,MYS,20260830,63
16,11,SVK,20260830,63
16,12,SVK,20260830,63
16,13,JPN,20260830,63
16,14,CAN,20260830,63
16,15,ROU,20260830,63
16,16,SRB,20260830,63
16,17,ZAF,20260830,63
16,18,CHL,20260830,63
16,19,CHL,20260830,63
16,20,RUS,20260830,63
16,21,HRV,20260830,63
16,22,COL,20260830,63
16,23,FRA,20260830,63
16,24,AUT,20260830,63
16,25,ZAF,20260830,63
16,26,SWE,20260830,63
16,27,ROU,20260830,63
16,28,ESP,20260830,63
16,29,EGY,20260830,63
16,30,ZAF,20260830,63
16,31,USA,20260830,63
16,32,GRC,20260830,63
16,33,CIV,20260830,63
16,34,BRA,20260830,63
16,35,KEN,20260830,63
16,36,TUR,20260830,63
16,37,FRA,20260830,63
16,38,ISR,20260830,63
16,39,CHN,20260830,63
16,40,TUR,20260830,63
16,41,PRT,20260830,63
16,42,IND,20260830,63
16,43,SVN,20260830,63
16,44,NAM,20260830,63
16,45,POL,20260830,63
16,46,IDN,20260830,63
16,47,SVK,20260830,63
16,48,SGP,20260830,63
16,49,HRV,20260830,63
16,50,IDN,20260830,63
16,51,NGA,20260830,63
16,52,CAN,20260830,63
16,53,CAN,20260830,63
16,54,CHE,20260830,63
16,55,LTU,20260830,63
